brm	original
b_county_intercept_county_idx_z_flat.126	alpha_raw.126
b_county_intercept_county_idx_z_flat.127	alpha_raw.127
b_county_intercept_county_idx_z_flat.128	alpha_raw.128
b_county_intercept_county_idx_z_flat.129	alpha_raw.129
b_county_intercept_county_idx_z_flat.130	alpha_raw.130
b_county_intercept_county_idx_z_flat.131	alpha_raw.131
b_county_intercept_county_idx_z_flat.132	alpha_raw.132
b_county_intercept_county_idx_z_flat.133	alpha_raw.133
b_county_intercept_county_idx_z_flat.134	alpha_raw.134
b_county_intercept_county_idx_z_flat.135	alpha_raw.135
b_county_intercept_county_idx_z_flat.136	alpha_raw.136
b_county_intercept_county_idx_z_flat.137	alpha_raw.137
b_county_intercept_county_idx_z_flat.138	alpha_raw.138
b_county_intercept_county_idx_z_flat.139	alpha_raw.139
b_county_intercept_county_idx_z_flat.140	alpha_raw.140
b_county_intercept_county_idx_z_flat.141	alpha_raw.141
b_county_intercept_county_idx_z_flat.142	alpha_raw.142
b_county_intercept_county_idx_z_flat.143	alpha_raw.143
b_county_intercept_county_idx_z_flat.144	alpha_raw.144
b_county_intercept_county_idx_z_flat.145	alpha_raw.145
b_county_intercept_county_idx_z_flat.146	alpha_raw.146
b_county_intercept_county_idx_z_flat.147	alpha_raw.147
b_county_intercept_county_idx_z_flat.148	alpha_raw.148
b_county_intercept_county_idx_z_flat.149	alpha_raw.149
b_county_intercept_county_idx_z_flat.150	alpha_raw.150
b_county_intercept_county_idx_z_flat.151	alpha_raw.151
b_county_intercept_county_idx_z_flat.152	alpha_raw.152
b_county_intercept_county_idx_z_flat.153	alpha_raw.153
b_county_intercept_county_idx_z_flat.154	alpha_raw.154
b_county_intercept_county_idx_z_flat.155	alpha_raw.155
b_county_intercept_county_idx_z_flat.156	alpha_raw.156
b_county_intercept_county_idx_z_flat.157	alpha_raw.157
b_county_intercept_county_idx_z_flat.158	alpha_raw.158
b_county_intercept_county_idx_z_flat.159	alpha_raw.159
b_county_intercept_county_idx_z_flat.160	alpha_raw.160
b_county_intercept_county_idx_z_flat.161	alpha_raw.161
b_county_intercept_county_idx_z_flat.162	alpha_raw.162
b_county_intercept_county_idx_z_flat.163	alpha_raw.163
b_county_intercept_county_idx_z_flat.164	alpha_raw.164
b_county_intercept_county_idx_z_flat.165	alpha_raw.165
b_county_intercept_county_idx_z_flat.166	alpha_raw.166
b_county_intercept_county_idx_z_flat.167	alpha_raw.167
b_county_intercept_county_idx_z_flat.168	alpha_raw.168
b_county_intercept_county_idx_z_flat.169	alpha_raw.169
b_county_intercept_county_idx_z_flat.170	alpha_raw.170
b_county_intercept_county_idx_z_flat.171	alpha_raw.171
b_county_intercept_county_idx_z_flat.172	alpha_raw.172
b_county_intercept_county_idx_z_flat.173	alpha_raw.173
b_county_intercept_county_idx_z_flat.174	alpha_raw.174
b_county_intercept_county_idx_z_flat.175	alpha_raw.175
b_county_intercept_county_idx_z_flat.176	alpha_raw.176
b_county_intercept_county_idx_z_flat.177	alpha_raw.177
b_county_intercept_county_idx_z_flat.178	alpha_raw.178
b_county_intercept_county_idx_z_flat.179	alpha_raw.179
b_county_intercept_county_idx_z_flat.180	alpha_raw.180
b_county_intercept_county_idx_z_flat.181	alpha_raw.181
b_county_intercept_county_idx_z_flat.182	alpha_raw.182
b_county_intercept_county_idx_z_flat.183	alpha_raw.183
b_county_intercept_county_idx_z_flat.184	alpha_raw.184
b_county_intercept_county_idx_z_flat.185	alpha_raw.185
b_county_intercept_county_idx_z_flat.186	alpha_raw.186
b_county_intercept_county_idx_z_flat.187	alpha_raw.187
b_county_intercept_county_idx_z_flat.188	alpha_raw.188
b_county_intercept_county_idx_z_flat.189	alpha_raw.189
b_county_intercept_county_idx_z_flat.190	alpha_raw.190
b_county_intercept_county_idx_z_flat.191	alpha_raw.191
b_county_intercept_county_idx_z_flat.192	alpha_raw.192
b_county_intercept_county_idx_z_flat.193	alpha_raw.193
b_county_intercept_county_idx_z_flat.194	alpha_raw.194
b_county_intercept_county_idx_z_flat.195	alpha_raw.195
b_county_intercept_county_idx_z_flat.196	alpha_raw.196
b_county_intercept_county_idx_z_flat.197	alpha_raw.197
b_county_intercept_county_idx_z_flat.198	alpha_raw.198
b_county_intercept_county_idx_z_flat.199	alpha_raw.199
b_county_intercept_county_idx_z_flat.200	alpha_raw.200
b_county_intercept_county_idx_z_flat.201	alpha_raw.201
b_county_intercept_county_idx_z_flat.202	alpha_raw.202
b_county_intercept_county_idx_z_flat.203	alpha_raw.203
b_county_intercept_county_idx_z_flat.204	alpha_raw.204
b_county_intercept_county_idx_z_flat.205	alpha_raw.205
b_county_intercept_county_idx_z_flat.206	alpha_raw.206
b_county_intercept_county_idx_z_flat.207	alpha_raw.207
b_county_intercept_county_idx_z_flat.208	alpha_raw.208
b_county_intercept_county_idx_z_flat.209	alpha_raw.209
b_county_intercept_county_idx_z_flat.210	alpha_raw.210
b_county_intercept_county_idx_z_flat.211	alpha_raw.211
b_county_intercept_county_idx_z_flat.212	alpha_raw.212
b_county_intercept_county_idx_z_flat.213	alpha_raw.213
b_county_intercept_county_idx_z_flat.214	alpha_raw.214
b_county_intercept_county_idx_z_flat.215	alpha_raw.215
b_county_intercept_county_idx_z_flat.216	alpha_raw.216
b_county_intercept_county_idx_z_flat.217	alpha_raw.217
b_county_intercept_county_idx_z_flat.218	alpha_raw.218
b_county_intercept_county_idx_z_flat.219	alpha_raw.219
b_county_intercept_county_idx_z_flat.220	alpha_raw.220
b_county_intercept_county_idx_z_flat.221	alpha_raw.221
b_county_intercept_county_idx_z_flat.222	alpha_raw.222
b_county_intercept_county_idx_z_flat.223	alpha_raw.223
b_county_intercept_county_idx_z_flat.224	alpha_raw.224
b_county_intercept_county_idx_z_flat.225	alpha_raw.225
b_county_intercept_county_idx_z_flat.226	alpha_raw.226
b_county_intercept_county_idx_z_flat.227	alpha_raw.227
b_county_intercept_county_idx_z_flat.228	alpha_raw.228
b_county_intercept_county_idx_z_flat.229	alpha_raw.229
b_county_intercept_county_idx_z_flat.230	alpha_raw.230
b_county_intercept_county_idx_z_flat.231	alpha_raw.231
b_county_intercept_county_idx_z_flat.232	alpha_raw.232
b_county_intercept_county_idx_z_flat.233	alpha_raw.233
b_county_intercept_county_idx_z_flat.234	alpha_raw.234
b_county_intercept_county_idx_z_flat.235	alpha_raw.235
b_county_intercept_county_idx_z_flat.236	alpha_raw.236
b_county_intercept_county_idx_z_flat.237	alpha_raw.237
b_county_intercept_county_idx_z_flat.238	alpha_raw.238
b_county_intercept_county_idx_z_flat.239	alpha_raw.239
b_county_intercept_county_idx_z_flat.240	alpha_raw.240
b_county_intercept_county_idx_z_flat.241	alpha_raw.241
b_county_intercept_county_idx_z_flat.242	alpha_raw.242
b_county_intercept_county_idx_z_flat.243	alpha_raw.243
b_county_intercept_county_idx_z_flat.244	alpha_raw.244
b_county_intercept_county_idx_z_flat.245	alpha_raw.245
b_county_intercept_county_idx_z_flat.246	alpha_raw.246
b_county_intercept_county_idx_z_flat.247	alpha_raw.247
b_county_intercept_county_idx_z_flat.248	alpha_raw.248
b_county_intercept_county_idx_z_flat.249	alpha_raw.249
b_county_intercept_county_idx_z_flat.250	alpha_raw.250
b_county_intercept_county_idx_z_flat.251	alpha_raw.251
b_county_intercept_county_idx_z_flat.252	alpha_raw.252
b_county_intercept_county_idx_z_flat.253	alpha_raw.253
b_county_intercept_county_idx_z_flat.254	alpha_raw.254
b_county_intercept_county_idx_z_flat.255	alpha_raw.255
b_county_intercept_county_idx_z_flat.256	alpha_raw.256
b_county_intercept_county_idx_z_flat.257	alpha_raw.257
b_county_intercept_county_idx_z_flat.258	alpha_raw.258
b_county_intercept_county_idx_z_flat.259	alpha_raw.259
b_county_intercept_county_idx_z_flat.260	alpha_raw.260
b_county_intercept_county_idx_z_flat.261	alpha_raw.261
b_county_intercept_county_idx_z_flat.262	alpha_raw.262
b_county_intercept_county_idx_z_flat.263	alpha_raw.263
b_county_intercept_county_idx_z_flat.264	alpha_raw.264
b_county_intercept_county_idx_z_flat.265	alpha_raw.265
b_county_intercept_county_idx_z_flat.266	alpha_raw.266
b_county_intercept_county_idx_z_flat.267	alpha_raw.267
b_county_intercept_county_idx_z_flat.268	alpha_raw.268
b_county_intercept_county_idx_z_flat.269	alpha_raw.269
b_county_intercept_county_idx_z_flat.270	alpha_raw.270
b_county_intercept_county_idx_z_flat.271	alpha_raw.271
b_county_intercept_county_idx_z_flat.272	alpha_raw.272
b_county_intercept_county_idx_z_flat.273	alpha_raw.273
b_county_intercept_county_idx_z_flat.274	alpha_raw.274
b_county_intercept_county_idx_z_flat.275	alpha_raw.275
b_county_intercept_county_idx_z_flat.276	alpha_raw.276
b_county_intercept_county_idx_z_flat.277	alpha_raw.277
b_county_intercept_county_idx_z_flat.278	alpha_raw.278
b_county_intercept_county_idx_z_flat.279	alpha_raw.279
b_county_intercept_county_idx_z_flat.280	alpha_raw.280
b_county_intercept_county_idx_z_flat.281	alpha_raw.281
b_county_intercept_county_idx_z_flat.282	alpha_raw.282
b_county_intercept_county_idx_z_flat.283	alpha_raw.283
b_county_intercept_county_idx_z_flat.284	alpha_raw.284
b_county_intercept_county_idx_z_flat.285	alpha_raw.285
b_county_intercept_county_idx_z_flat.286	alpha_raw.286
b_county_intercept_county_idx_z_flat.287	alpha_raw.287
b_county_intercept_county_idx_z_flat.288	alpha_raw.288
b_county_intercept_county_idx_z_flat.289	alpha_raw.289
b_county_intercept_county_idx_z_flat.290	alpha_raw.290
b_county_intercept_county_idx_z_flat.291	alpha_raw.291
b_county_intercept_county_idx_z_flat.292	alpha_raw.292
b_county_intercept_county_idx_z_flat.293	alpha_raw.293
b_county_intercept_county_idx_z_flat.294	alpha_raw.294
b_county_intercept_county_idx_z_flat.295	alpha_raw.295
b_county_intercept_county_idx_z_flat.296	alpha_raw.296
b_county_intercept_county_idx_z_flat.297	alpha_raw.297
b_county_intercept_county_idx_z_flat.298	alpha_raw.298
b_county_intercept_county_idx_z_flat.299	alpha_raw.299
b_county_intercept_county_idx_z_flat.300	alpha_raw.300
b_county_intercept_county_idx_z_flat.301	alpha_raw.301
b_county_intercept_county_idx_z_flat.302	alpha_raw.302
b_county_intercept_county_idx_z_flat.303	alpha_raw.303
b_county_intercept_county_idx_z_flat.304	alpha_raw.304
b_county_intercept_county_idx_z_flat.305	alpha_raw.305
b_county_intercept_county_idx_z_flat.306	alpha_raw.306
b_county_intercept_county_idx_z_flat.307	alpha_raw.307
b_county_intercept_county_idx_z_flat.308	alpha_raw.308
b_county_intercept_county_idx_z_flat.309	alpha_raw.309
b_county_intercept_county_idx_z_flat.310	alpha_raw.310
b_county_intercept_county_idx_z_flat.311	alpha_raw.311
b_county_intercept_county_idx_z_flat.312	alpha_raw.312
b_county_intercept_county_idx_z_flat.313	alpha_raw.313
b_county_intercept_county_idx_z_flat.314	alpha_raw.314
b_county_intercept_county_idx_z_flat.315	alpha_raw.315
b_county_intercept_county_idx_z_flat.316	alpha_raw.316
b_county_intercept_county_idx_z_flat.317	alpha_raw.317
b_county_intercept_county_idx_z_flat.318	alpha_raw.318
b_county_intercept_county_idx_z_flat.319	alpha_raw.319
b_county_intercept_county_idx_z_flat.320	alpha_raw.320
b_county_intercept_county_idx_z_flat.321	alpha_raw.321
b_county_intercept_county_idx_z_flat.322	alpha_raw.322
b_county_intercept_county_idx_z_flat.323	alpha_raw.323
b_county_intercept_county_idx_z_flat.324	alpha_raw.324
b_county_intercept_county_idx_z_flat.325	alpha_raw.325
b_county_intercept_county_idx_z_flat.326	alpha_raw.326
b_county_intercept_county_idx_z_flat.327	alpha_raw.327
b_county_intercept_county_idx_z_flat.328	alpha_raw.328
b_county_intercept_county_idx_z_flat.329	alpha_raw.329
b_county_intercept_county_idx_z_flat.330	alpha_raw.330
b_county_intercept_county_idx_z_flat.331	alpha_raw.331
b_county_intercept_county_idx_z_flat.332	alpha_raw.332
b_county_intercept_county_idx_z_flat.333	alpha_raw.333
b_county_intercept_county_idx_z_flat.334	alpha_raw.334
b_county_intercept_county_idx_z_flat.335	alpha_raw.335
b_county_intercept_county_idx_z_flat.336	alpha_raw.336
b_county_intercept_county_idx_z_flat.337	alpha_raw.337
b_county_intercept_county_idx_z_flat.338	alpha_raw.338
b_county_intercept_county_idx_z_flat.339	alpha_raw.339
b_county_intercept_county_idx_z_flat.340	alpha_raw.340
b_county_intercept_county_idx_z_flat.341	alpha_raw.341
b_county_intercept_county_idx_z_flat.342	alpha_raw.342
b_county_intercept_county_idx_z_flat.343	alpha_raw.343
b_county_intercept_county_idx_z_flat.344	alpha_raw.344
b_county_intercept_county_idx_z_flat.345	alpha_raw.345
b_county_intercept_county_idx_z_flat.346	alpha_raw.346
b_county_intercept_county_idx_z_flat.347	alpha_raw.347
b_county_intercept_county_idx_z_flat.348	alpha_raw.348
b_county_intercept_county_idx_z_flat.349	alpha_raw.349
b_county_intercept_county_idx_z_flat.350	alpha_raw.350
b_county_intercept_county_idx_z_flat.351	alpha_raw.351
b_county_intercept_county_idx_z_flat.352	alpha_raw.352
b_county_intercept_county_idx_z_flat.353	alpha_raw.353
b_county_intercept_county_idx_z_flat.354	alpha_raw.354
b_county_intercept_county_idx_z_flat.355	alpha_raw.355
b_county_intercept_county_idx_z_flat.356	alpha_raw.356
b_county_intercept_county_idx_z_flat.357	alpha_raw.357
b_county_intercept_county_idx_z_flat.358	alpha_raw.358
b_county_intercept_county_idx_z_flat.359	alpha_raw.359
b_county_intercept_county_idx_z_flat.360	alpha_raw.360
b_county_intercept_county_idx_z_flat.361	alpha_raw.361
b_county_intercept_county_idx_z_flat.362	alpha_raw.362
b_county_intercept_county_idx_z_flat.363	alpha_raw.363
b_county_intercept_county_idx_z_flat.364	alpha_raw.364
b_county_intercept_county_idx_z_flat.365	alpha_raw.365
b_county_intercept_county_idx_z_flat.366	alpha_raw.366
b_county_intercept_county_idx_z_flat.367	alpha_raw.367
b_county_intercept_county_idx_z_flat.368	alpha_raw.368
b_county_intercept_county_idx_z_flat.369	alpha_raw.369
b_county_intercept_county_idx_z_flat.370	alpha_raw.370
b_county_intercept_county_idx_z_flat.371	alpha_raw.371
b_county_intercept_county_idx_z_flat.372	alpha_raw.372
b_county_intercept_county_idx_z_flat.373	alpha_raw.373
b_county_intercept_county_idx_z_flat.374	alpha_raw.374
b_county_intercept_county_idx_z_flat.375	alpha_raw.375
b_county_intercept_county_idx_z_flat.376	alpha_raw.376
b_county_intercept_county_idx_z_flat.377	alpha_raw.377
b_county_intercept_county_idx_z_flat.378	alpha_raw.378
b_county_intercept_county_idx_z_flat.379	alpha_raw.379
b_county_intercept_county_idx_z_flat.380	alpha_raw.380
b_county_intercept_county_idx_z_flat.381	alpha_raw.381
b_county_intercept_county_idx_z_flat.382	alpha_raw.382
b_county_intercept_county_idx_z_flat.383	alpha_raw.383
b_county_intercept_county_idx_z_flat.384	alpha_raw.384
b_county_intercept_county_idx_z_flat.385	alpha_raw.385
b_county_intercept_county_idx_z_flat.386	alpha_raw.386
b_county_slope_county_idx_tau.1	sigma_beta
b_county_slope_county_idx_z_flat.1	beta_raw.1
b_county_slope_county_idx_z_flat.2	beta_raw.2
b_county_slope_county_idx_z_flat.3	beta_raw.3
b_county_slope_county_idx_z_flat.4	beta_raw.4
b_county_slope_county_idx_z_flat.5	beta_raw.5
b_county_slope_county_idx_z_flat.6	beta_raw.6
b_county_slope_county_idx_z_flat.7	beta_raw.7
b_county_slope_county_idx_z_flat.8	beta_raw.8
b_county_slope_county_idx_z_flat.9	beta_raw.9
b_county_slope_county_idx_z_flat.10	beta_raw.10
b_county_slope_county_idx_z_flat.11	beta_raw.11
b_county_slope_county_idx_z_flat.12	beta_raw.12
b_county_slope_county_idx_z_flat.13	beta_raw.13
b_county_slope_county_idx_z_flat.14	beta_raw.14
b_county_slope_county_idx_z_flat.15	beta_raw.15
b_county_slope_county_idx_z_flat.16	beta_raw.16
b_county_slope_county_idx_z_flat.17	beta_raw.17
b_county_slope_county_idx_z_flat.18	beta_raw.18
b_county_slope_county_idx_z_flat.19	beta_raw.19
b_county_slope_county_idx_z_flat.20	beta_raw.20
b_county_slope_county_idx_z_flat.21	beta_raw.21
b_county_slope_county_idx_z_flat.22	beta_raw.22
b_county_slope_county_idx_z_flat.23	beta_raw.23
b_county_slope_county_idx_z_flat.24	beta_raw.24
b_county_slope_county_idx_z_flat.25	beta_raw.25
b_county_slope_county_idx_z_flat.26	beta_raw.26
b_county_slope_county_idx_z_flat.27	beta_raw.27
b_county_slope_county_idx_z_flat.28	beta_raw.28
b_county_slope_county_idx_z_flat.29	beta_raw.29
b_county_slope_county_idx_z_flat.30	beta_raw.30
b_county_slope_county_idx_z_flat.31	beta_raw.31
b_county_slope_county_idx_z_flat.32	beta_raw.32
b_county_slope_county_idx_z_flat.33	beta_raw.33
b_county_slope_county_idx_z_flat.34	beta_raw.34
b_county_slope_county_idx_z_flat.35	beta_raw.35
b_county_slope_county_idx_z_flat.36	beta_raw.36
b_county_slope_county_idx_z_flat.37	beta_raw.37
b_county_slope_county_idx_z_flat.38	beta_raw.38
b_county_slope_county_idx_z_flat.39	beta_raw.39
b_county_slope_county_idx_z_flat.40	beta_raw.40
b_county_slope_county_idx_z_flat.41	beta_raw.41
b_county_slope_county_idx_z_flat.42	beta_raw.42
b_county_slope_county_idx_z_flat.43	beta_raw.43
b_county_slope_county_idx_z_flat.44	beta_raw.44
b_county_slope_county_idx_z_flat.45	beta_raw.45
b_county_slope_county_idx_z_flat.46	beta_raw.46
b_county_slope_county_idx_z_flat.47	beta_raw.47
b_county_slope_county_idx_z_flat.48	beta_raw.48
b_county_slope_county_idx_z_flat.49	beta_raw.49
b_county_slope_county_idx_z_flat.50	beta_raw.50
b_county_slope_county_idx_z_flat.51	beta_raw.51
b_county_slope_county_idx_z_flat.52	beta_raw.52
b_county_slope_county_idx_z_flat.53	beta_raw.53
b_county_slope_county_idx_z_flat.54	beta_raw.54
b_county_slope_county_idx_z_flat.55	beta_raw.55
b_county_slope_county_idx_z_flat.56	beta_raw.56
b_county_slope_county_idx_z_flat.57	beta_raw.57
b_county_slope_county_idx_z_flat.58	beta_raw.58
b_county_slope_county_idx_z_flat.59	beta_raw.59
b_county_slope_county_idx_z_flat.60	beta_raw.60
b_county_slope_county_idx_z_flat.61	beta_raw.61
b_county_slope_county_idx_z_flat.62	beta_raw.62
b_county_slope_county_idx_z_flat.63	beta_raw.63
b_county_slope_county_idx_z_flat.64	beta_raw.64
b_county_slope_county_idx_z_flat.65	beta_raw.65
b_county_slope_county_idx_z_flat.66	beta_raw.66
b_county_slope_county_idx_z_flat.67	beta_raw.67
b_county_slope_county_idx_z_flat.68	beta_raw.68
b_county_slope_county_idx_z_flat.69	beta_raw.69
b_county_slope_county_idx_z_flat.70	beta_raw.70
b_county_slope_county_idx_z_flat.71	beta_raw.71
b_county_slope_county_idx_z_flat.72	beta_raw.72
b_county_slope_county_idx_z_flat.73	beta_raw.73
b_county_slope_county_idx_z_flat.74	beta_raw.74
b_county_slope_county_idx_z_flat.75	beta_raw.75
b_county_slope_county_idx_z_flat.76	beta_raw.76
b_county_slope_county_idx_z_flat.77	beta_raw.77
b_county_slope_county_idx_z_flat.78	beta_raw.78
b_county_slope_county_idx_z_flat.79	beta_raw.79
b_county_slope_county_idx_z_flat.80	beta_raw.80
b_county_slope_county_idx_z_flat.81	beta_raw.81
b_county_slope_county_idx_z_flat.82	beta_raw.82
b_county_slope_county_idx_z_flat.83	beta_raw.83
b_county_slope_county_idx_z_flat.84	beta_raw.84
b_county_slope_county_idx_z_flat.85	beta_raw.85
b_county_slope_county_idx_z_flat.86	beta_raw.86
b_county_slope_county_idx_z_flat.87	beta_raw.87
b_county_slope_county_idx_z_flat.88	beta_raw.88
b_county_slope_county_idx_z_flat.89	beta_raw.89
b_county_slope_county_idx_z_flat.90	beta_raw.90
b_county_slope_county_idx_z_flat.91	beta_raw.91
b_county_slope_county_idx_z_flat.92	beta_raw.92
b_county_slope_county_idx_z_flat.93	beta_raw.93
b_county_slope_county_idx_z_flat.94	beta_raw.94
b_county_slope_county_idx_z_flat.95	beta_raw.95
b_county_slope_county_idx_z_flat.96	beta_raw.96
b_county_slope_county_idx_z_flat.97	beta_raw.97
b_county_slope_county_idx_z_flat.98	beta_raw.98
b_county_slope_county_idx_z_flat.99	beta_raw.99
b_county_slope_county_idx_z_flat.100	beta_raw.100
b_county_slope_county_idx_z_flat.101	beta_raw.101
